,Release date,Artist,Album,Genre,Label,Producer
0,February 1 2017,Red Velvet,Rookie,Pop,S.M. Entertainment,
1,February 1 2017,Zion.T,OO,"R&B, soul",The Black Label,"Peejay, Zion.T"
2,February 3 2017,Big Sean,I Decided.,Hip hop,"GOOD, Def Jam","Allen Ritter, Amaire Johnson, Big Sean, Cary Singer, Detail, DJ Dahi, DJ Khalil, DJ Mustard, FrancisGotHeat, Fuse, Gregg Rominiecki, Hey DJ, Hitmaka, Kanye West, Key Wane, Maximilian Jaeger, Metro Boomin, RobGotBeats, Sidney Swift, Smash David, The Track Burnaz, Travis Scott, Tre Pounds, WondaGurl"
3,February 3 2017,Big Wreck,Grace Street,Rock,"Anthem, Warner Music Canada","Ian Thornley, Garth Richardson"
4,February 3 2017,Black Star Riders,Heavy Fire,Hard rock,Nuclear Blast,Nick Raskulinecz
5,February 3 2017,Dave Hause,Bury Me in Philly,"Rock, alternative rock, heartland rock, Americana",Rise,
6,February 3 2017,Dune Rats,The Kids Will Know It's Bullshit,,Ratbag Records,Zac Carper
7,February 3 2017,East 17,24/7,"Pop, rock",MIROMA MUSIC,
8,February 3 2017,Elbow,Little Fictions,Alternative rock,Polydor,Craig Potter
9,February 3 2017,G4,G4 Love Songs,Operatic pop,Amick Productions,Ash Alexander
10,February 3 2017,Homeshake,Fresh Air,"R&B, Synth-pop","Royal Mountain, Sinderlyn",Peter Sagar
11,February 3 2017,Iron Reagan,Crossover Ministry,Crossover thrash,Relapse,Phil Hall
12,February 3 2017,Julian Cope,Drunken Songs,Rock,Head Heritage,Julian Cope
13,February 3 2017,Kari Jobe,The Garden,Worship,"Sparrow, KAJE",Jeremy Edwardson
14,February 3 2017,Kevin Garrett,False Hope,Pop,,
15,February 3 2017,The Knocks,Testify EP,"EDM, nu-disco, dance-pop","Big Beat, Neon Gold","The Knocks, Styalz Fuego, MNEK"
16,February 3 2017,Lower Than Atlantis,Safe in Sound,Rock,Easy Life Records,Dan Lancaster
