,Release date,Artist,Album,Genre,Label,Producer
0,January 1 2017,Brian Eno,Reflection,Ambient,Warp,Brian Eno
1,January 1 2017,Chief Keef,Two Zero One Seven,Drill,"Glo Gang, RBC Records, eOne Music","Chief Keef, Leek-e-Leek, Lex Luger, Young Chop"
2,January 2 2017,AOA,Angel's Knock,"K-pop, electropop, dance-pop","FNC Entertainment, LOEN Entertainment",Han Sung Ho
3,January 2 2017,S.E.S.,Remember,"R&B, new jack swing, ballad, jazz, dance","S.M. Entertainment, KT Music",Lee Soo-man
4,January 3 2017,Akdong Musician,Winter,"K-pop, folk","YG Entertainment, KT Music",Lee Chanhyuk
5,January 4 2017,April,Prelude,"K-pop, dance","DSP Media, LOEN Entertainment",
6,January 4 2017,Pink Guy,Pink Season,Comedy hip hop,Pink Records,"Holder, George Miller"
7,January 5 2017,Nothing But You,Meant to Be,"Jazz, easy listening, soul jazz",Phoenix Records,"Phill, Shota Osabe"
8,January 6 2017,Chasing Safety,Nomad,"Metalcore, post-hardcore",Outerloop,"Curtis Martin, Kile Odell"
9,January 6 2017,Dag Arnesen Trio,Pentagon Tapes,Jazz,Losen,
10,January 6 2017,Dropkick Murphys,11 Short Stories of Pain & Glory,"Celtic punk, folk punk",Born & Bred Records,Ted Hutt
11,January 6 2017,Gone Is Gone,Echolocation,,"Black Dune, Rise",
12,January 6 2017,Halestorm,Reanimate 3.0: The Covers EP,Hard rock,Atlantic,Nick Raskulinecz
13,January 6 2017,Jipsta,Ban2oozle,"Dance, hip hop, pop",Bandoozle Beatz,"Chris Cox, Jipsta, Ranny"
14,January 6 2017,NCT 127,Limitless,"K-pop, R&B, dance-pop, EDM, trap, hip hop","S.M. Entertainment, KT Music",Lee Soo-man
15,January 6 2017,Sundara Karma,Youth Is Only Ever Fun in Retrospect,Indie rock,Sony Music,
16,January 6 2017,You Me at Six,Night People,"Hard rock, pop rock, rock and roll","Virgin, Prospect Park, BMG",Jacquire King
17,January 8 2017,David Bowie,No Plan,Art rock,"Columbia, Sony","David Bowie, Tony Visconti"
18,January 11 2017,Band-Maid,Just Bring It,"Hard rock, heavy metal","Nippon Crown, JPU","Junji Hayashi, Koji Goto, Yusutaka Wada"
19,January 11 2017,Hello Venus,Mystery of Venus,K-pop,Fantagio,"Amanda Moseley, Devine Channel, Lisa Desmond, Maria Marcus, Nikki Paige, Simon Janlöv, Ylva Dimberg"
20,January 11 2017,One Ok Rock,Ambitions,Alternative rock,"A-Sketch, Amuse, Inc., Fueled by Ramen","Colin Brittain, Dan Lancaster"
